Company_ID,Establishment_Year,Tech_Readiness_Level,Company_Structure,IT_Budget_USD,Small_Branch_Offices,International_Branches,Days_Since_Last_Contract,Mnt_Cloud_Infrastructure,Mnt_CRM_Software,Mnt_ERP_Systems,Mnt_Cybersecurity,Mnt_Collaboration_Tools,Mnt_AI_Data_Analytics,Num_Discounted_Contracts,Num_SelfService_Contracts,Num_Partner_Reseller_Contracts,Num_Direct_Sales_Contracts,Num_B2B_Portal_Visits_Month,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,SLA_Breach_Complaints,Response,Mnt_Total_Enterprise_Spend,AI_Spending_Ratio,Partnership_Years,Macro_Cluster,Macro_Cluster_Name,Final_Segment
10755,1976,1,2,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,81,0.4390243902439024,13,0,Small Business (SMEs),Small Business (SMEs)
8595,1973,3,3,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,0.0588235294117647,12,0,Small Business (SMEs),Small Business (SMEs)
2968,1943,0,4,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,902,0.0465116279069767,13,1,Mid-Market Enterprise,Mid-Market Enterprise
8601,1980,3,2,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1395,0.0730659025787965,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
503,1985,2,2,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,53,0.1296296296296296,13,0,Small Business (SMEs),Small Business (SMEs)
8430,1957,3,0,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,22,0.1304347826086956,14,0,Small Business (SMEs),Small Business (SMEs)
7281,1959,0,1,51381.5,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,186,0.2085561497326203,13,0,Small Business (SMEs),Small Business (SMEs)
2139,1975,2,2,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,31,0.375,13,0,Small Business (SMEs),Small Business (SMEs)
1371,1976,3,1,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,984,0.1766497461928934,12,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
9909,1996,1,2,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,122,0.4065040650406504,14,0,Small Business (SMEs),Small Business (SMEs)
7286,1968,3,0,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,0.2321428571428571,13,0,Small Business (SMEs),Small Business (SMEs)
7244,1951,3,1,51381.5,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,124,0.056,12,0,Small Business (SMEs),Small Business (SMEs)
6566,1954,0,2,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1319,0.0287878787878787,14,2,Large Enterprise,Large Enterprise - Cloud Focus
8614,1957,3,3,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,507,0.0275590551181102,12,1,Mid-Market Enterprise,Mid-Market Enterprise
4114,1964,2,2,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,1693,0.0188902007083825,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
1331,1977,3,1,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,72,0.0410958904109589,13,0,Small Business (SMEs),Small Business (SMEs)
2225,1977,3,4,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1617,0.1489493201483312,12,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
9381,1978,3,2,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,0.1795716639209225,13,1,Mid-Market Enterprise,Mid-Market Enterprise
6260,1955,2,0,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,1957,0.0970377936670071,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
10383,1966,3,4,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,1093,0.036563071297989,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
7437,1988,3,1,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,29,0.1666666666666666,12,0,Small Business (SMEs),Small Business (SMEs)
8557,1982,3,1,51381.5,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,46,0.1276595744680851,13,0,Small Business (SMEs),Small Business (SMEs)
8375,1968,0,2,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,518,0.0828516377649325,12,1,Mid-Market Enterprise,Mid-Market Enterprise
6853,1982,2,1,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,1438,0.0555941626129256,13,2,Large Enterprise,Large Enterprise - Cloud Focus
3076,1975,3,0,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,612,0.0097879282218597,14,1,Mid-Market Enterprise,Mid-Market Enterprise
1012,1952,3,1,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,884,0.1909604519774011,13,1,Mid-Market Enterprise,Mid-Market Enterprise
6518,1951,0,3,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,606,0.0098846787479406,13,1,Mid-Market Enterprise,Mid-Market Enterprise
4137,1948,3,0,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,1076,0.0278551532033426,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
8082,1971,3,2,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,34,0.4285714285714285,13,0,Small Business (SMEs),Small Business (SMEs)
1386,1967,3,0,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,11,0.0,12,0,Small Business (SMEs),Small Business (SMEs)
9369,1979,1,1,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1274,0.0298039215686274,12,2,Large Enterprise,Large Enterprise - Cloud Focus
4477,1958,3,0,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,653,0.1666666666666666,13,1,Mid-Market Enterprise,Mid-Market Enterprise
1357,1970,3,0,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1562,0.0467050543825975,13,2,Large Enterprise,Large Enterprise - Cloud Focus
1402,1954,2,2,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,1253,0.0095693779904306,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
10629,1973,1,2,51381.5,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,109,0.1545454545454545,14,0,Small Business (SMEs),Small Business (SMEs)
6312,1959,3,2,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,863,0.099537037037037,13,1,Mid-Market Enterprise,Mid-Market Enterprise
8132,1975,0,2,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,661,0.0287009063444108,13,1,Mid-Market Enterprise,Mid-Market Enterprise
1050,1952,3,2,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,65,0.1363636363636363,12,0,Small Business (SMEs),Small Business (SMEs)
5846,1977,3,4,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,13,0.0714285714285714,14,0,Small Business (SMEs),Small Business (SMEs)
1859,1972,2,2,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,1890,0.0095187731359069,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
7503,1976,3,1,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,2209,0.023076923076923,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
10401,1976,1,0,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,18,0.4736842105263157,13,0,Small Business (SMEs),Small Business (SMEs)
1618,1965,3,0,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,692,0.0735930735930736,13,1,Mid-Market Enterprise,Mid-Market Enterprise
3332,1985,3,1,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,165,0.1024096385542168,14,0,Small Business (SMEs),Small Business (SMEs)
2261,1969,3,2,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,16,0.2352941176470588,13,0,Small Business (SMEs),Small Business (SMEs)
5346,1973,1,2,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,79,0.2875,13,0,Small Business (SMEs),Small Business (SMEs)
4119,1963,2,0,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,0.2789968652037617,13,0,Small Business (SMEs),Small Business (SMEs)
535,1987,3,4,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,778,0.0975609756097561,12,1,Mid-Market Enterprise,Mid-Market Enterprise
5268,1960,3,2,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,56,0.0526315789473684,13,0,Small Business (SMEs),Small Business (SMEs)
273,1970,2,2,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,151,0.0328947368421052,13,0,Small Business (SMEs),Small Business (SMEs)
4452,1957,3,1,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,372,0.0911528150134048,12,1,Mid-Market Enterprise,Mid-Market Enterprise
8504,1973,3,2,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1366,0.1060716898317483,12,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
771,1967,3,0,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,194,0.0358974358974358,12,1,Mid-Market Enterprise,Mid-Market Enterprise
8996,1957,0,2,51381.5,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,603,0.0877483443708609,14,1,Mid-Market Enterprise,Mid-Market Enterprise
9235,1957,3,1,51381.5,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,18,0.0526315789473684,12,0,Small Business (SMEs),Small Business (SMEs)
5798,1973,2,0,51381.5,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,985,0.0182555780933062,13,1,Mid-Market Enterprise,Mid-Market Enterprise
11178,1972,2,1,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,32,0.1212121212121212,12,0,Small Business (SMEs),Small Business (SMEs)
2230,1970,0,2,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,43,0.0,12,0,Small Business (SMEs),Small Business (SMEs)
7516,1983,3,2,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,45,0.1956521739130435,12,0,Small Business (SMEs),Small Business (SMEs)
7247,1960,3,3,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,606,0.1235584843492586,14,1,Mid-Market Enterprise,Mid-Market Enterprise
11100,1972,3,4,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,63,0.03125,13,0,Small Business (SMEs),Small Business (SMEs)
4646,1951,1,2,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,0.2277834525025536,13,2,Large Enterprise,Large Enterprise - Cloud Focus
3037,1983,0,2,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,410,0.0267639902676399,13,1,Mid-Market Enterprise,Mid-Market Enterprise
1473,1960,1,1,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,72,0.136986301369863,13,0,Small Business (SMEs),Small Business (SMEs)
1016,1959,0,1,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,0.0892857142857142,12,0,Small Business (SMEs),Small Business (SMEs)
4518,1979,3,0,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1169,0.0948717948717948,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
9370,1945,0,2,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,1120,0.0722569134701159,13,1,Mid-Market Enterprise,Mid-Market Enterprise
8908,1959,3,2,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1097,0.0346083788706739,12,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
8373,1979,4,0,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,29,0.3,13,0,Small Business (SMEs),Small Business (SMEs)
7533,1964,3,2,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,187,0.0372340425531914,13,0,Small Business (SMEs),Small Business (SMEs)
2683,1969,3,2,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,910,0.0713501646542261,13,1,Mid-Market Enterprise,Mid-Market Enterprise
3629,1978,3,1,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,145,0.184931506849315,14,0,Small Business (SMEs),Small Business (SMEs)
10991,1960,2,2,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,0.0505287896592244,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
5077,1979,3,0,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,0.0814432989690721,13,2,Large Enterprise,Large Enterprise - Cloud Focus
7431,1991,0,1,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1820,0.0472267984623833,14,2,Large Enterprise,Large Enterprise - Cloud Focus
3267,1963,2,0,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,0.0985221674876847,12,1,Mid-Market Enterprise,Mid-Market Enterprise
999,1991,3,1,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,730,0.0300957592339261,13,1,Mid-Market Enterprise,Mid-Market Enterprise
9215,1980,0,2,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,551,0.1304347826086956,14,1,Mid-Market Enterprise,Mid-Market Enterprise
2286,1962,3,1,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,114,0.2347826086956521,13,0,Small Business (SMEs),Small Business (SMEs)
1592,1970,3,2,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1724,0.0191304347826086,12,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
367,1978,1,2,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,577,0.2076124567474048,13,0,Small Business (SMEs),Small Business (SMEs)
5234,1967,1,0,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,81,0.3658536585365853,13,0,Small Business (SMEs),Small Business (SMEs)
9862,1969,3,0,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33,0.088235294117647,13,0,Small Business (SMEs),Small Business (SMEs)
9805,1953,2,0,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,0.0726172465960665,13,1,Mid-Market Enterprise,Mid-Market Enterprise
6205,1967,2,1,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,80,0.1234567901234567,12,0,Small Business (SMEs),Small Business (SMEs)
8442,1985,2,2,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,0.2258064516129032,13,0,Small Business (SMEs),Small Business (SMEs)
7386,1976,3,4,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,43,0.0454545454545454,13,0,Small Business (SMEs),Small Business (SMEs)
7215,1983,3,1,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1135,0.1478873239436619,13,2,Large Enterprise,Large Enterprise - Cloud Focus
1491,1965,1,0,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,0.3071428571428571,13,1,Mid-Market Enterprise,Mid-Market Enterprise
11071,1984,3,1,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,0.1122661122661122,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
3381,1953,2,2,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,90,0.0439560439560439,12,0,Small Business (SMEs),Small Business (SMEs)
8268,1961,0,2,51381.5,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,404,0.037037037037037,13,1,Mid-Market Enterprise,Mid-Market Enterprise
11051,1956,0,0,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,0.0181268882175226,12,1,Mid-Market Enterprise,Mid-Market Enterprise
8026,1952,3,2,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,463,0.125,13,1,Mid-Market Enterprise,Mid-Market Enterprise
433,1958,2,1,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,632,0.0647709320695102,13,1,Mid-Market Enterprise,Mid-Market Enterprise
9597,1969,3,2,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,725,0.1790633608815427,12,1,Mid-Market Enterprise,Mid-Market Enterprise
1295,1963,3,2,51381.5,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,725,0.1707988980716253,13,1,Mid-Market Enterprise,Mid-Market Enterprise
5290,1964,0,2,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,279,0.0821428571428571,13,0,Small Business (SMEs),Small Business (SMEs)
1685,1967,0,0,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,1482,0.0,13,2,Large Enterprise,Large Enterprise - Cloud Focus
5342,1976,4,4,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,29,0.3,14,0,Small Business (SMEs),Small Business (SMEs)
9579,1959,0,2,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,106,0.1495327102803738,13,0,Small Business (SMEs),Small Business (SMEs)
7660,1973,0,1,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,49,0.4,12,0,Small Business (SMEs),Small Business (SMEs)
1461,1965,0,4,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,38,0.1025641025641025,13,0,Small Business (SMEs),Small Business (SMEs)
