Company_ID,Establishment_Year,Tech_Readiness_Level,Company_Structure,IT_Budget_USD,Small_Branch_Offices,International_Branches,Days_Since_Last_Contract,Mnt_Cloud_Infrastructure,Mnt_CRM_Software,Mnt_ERP_Systems,Mnt_Cybersecurity,Mnt_Collaboration_Tools,Mnt_AI_Data_Analytics,Num_Discounted_Contracts,Num_SelfService_Contracts,Num_Partner_Reseller_Contracts,Num_Direct_Sales_Contracts,Num_B2B_Portal_Visits_Month,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,SLA_Breach_Complaints,Response,Mnt_Total_Enterprise_Spend,AI_Spending_Ratio,Partnership_Years,Macro_Cluster,Macro_Cluster_Name,Final_Segment,Probability_To_Buy,Campaign
1729,1961,0,0,66426.0,0,1,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0,1377,0.113933236574746,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.7804878048780487,AcceptedCmp1
6059,1953,0,0,64504.0,1,2,81,986,36,168,16,0,108,7,11,3,4,7,0,0,0,0,0,0,1,1314,0.0821292775665399,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.7804878048780487,AcceptedCmp1
10319,1971,3,2,66303.0,0,1,56,1090,12,96,16,12,60,4,3,4,11,8,0,1,0,0,0,0,0,1286,0.0466200466200466,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.7804878048780487,AcceptedCmp1
1665,1964,0,4,64140.0,0,2,71,1459,0,61,0,15,215,5,2,5,6,5,1,0,1,0,1,0,1,1750,0.1227869788692175,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.7804878048780487,AcceptedCmp1
3968,1970,1,4,65706.0,0,0,77,918,10,129,13,0,129,1,11,3,12,7,0,1,1,0,1,0,1,1199,0.1075,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.7804878048780487,AcceptedCmp1
1357,1970,3,0,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1562,0.0467050543825975,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
8717,1975,0,2,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,1835,0.0141612200435729,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
2075,1969,3,2,72460.0,0,0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0,1047,0.0095419847328244,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
6963,1947,3,1,77457.0,0,0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,0,1157,0.0094991364421416,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
9560,1965,3,0,83003.0,0,0,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,1,1674,0.0728358208955223,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
7106,1943,0,2,75865.0,0,0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0,0,0,0,0,1242,0.0096540627514078,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
6694,1964,3,2,75236.0,0,1,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,0,1068,0.1066417212347988,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
6036,1959,2,0,89120.0,0,0,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,1924,0.0285714285714285,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
4149,1948,0,0,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,1348,0.0192735359525574,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
4964,1958,0,0,74250.0,0,0,90,680,11,392,75,0,0,1,2,11,4,1,0,0,0,0,0,0,0,1158,0.0,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
2150,1958,0,3,80995.0,0,1,83,860,28,409,73,56,56,1,8,9,4,4,0,0,0,0,0,0,0,1482,0.0377612946729602,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
5687,1980,3,4,81702.0,0,0,98,563,50,774,28,31,187,1,7,7,12,3,0,0,0,0,0,0,0,1633,0.1144430844553243,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
7053,1966,0,1,78420.0,0,0,75,604,28,674,91,28,28,1,3,10,8,1,0,0,0,0,0,0,0,1453,0.0192572214580467,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
4654,1992,3,0,75114.0,0,0,40,571,12,523,63,60,24,1,3,10,5,2,0,0,0,0,0,0,0,1253,0.0191387559808612,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
5303,1974,0,0,79632.0,0,0,42,471,0,510,99,21,12,1,6,4,9,2,0,0,0,0,0,0,0,1113,0.0107719928186714,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
2611,1959,2,0,82576.0,0,0,66,1206,55,445,168,18,18,1,2,4,12,1,0,0,1,0,0,0,0,1910,0.0094191522762951,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
8164,1978,0,2,82170.0,0,0,13,1023,93,651,49,55,37,1,5,6,7,2,0,0,0,0,0,0,0,1908,0.0193818753273965,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
4507,1952,3,1,72228.0,0,0,87,631,28,491,30,14,56,1,6,7,8,3,0,0,0,0,0,0,0,1250,0.0447641886490807,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
1127,1973,0,2,85844.0,0,0,62,938,19,843,25,95,38,1,6,6,7,2,0,0,1,0,0,0,0,1958,0.0193976518631955,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
375,1954,3,4,76773.0,0,0,79,516,56,449,86,33,16,1,2,2,11,1,0,0,0,0,0,0,0,1156,0.013828867761452,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
6749,1966,3,1,86358.0,1,1,78,957,47,494,82,47,95,4,5,3,6,8,0,0,0,0,0,0,0,1722,0.0551363900174114,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
8015,1962,0,4,85696.0,0,0,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,1,1313,0.0091324200913242,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
3979,1983,0,4,90687.0,0,0,98,982,17,672,23,34,51,1,6,2,8,2,0,0,1,0,0,0,1,1779,0.0286516853932584,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
9400,1958,1,1,85485.0,0,0,73,630,26,611,44,18,54,1,6,6,6,2,0,0,0,0,0,0,0,1383,0.0390173410404624,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
1650,1960,2,2,81843.0,0,0,13,779,86,537,34,69,138,1,5,9,12,3,0,0,0,0,0,0,0,1643,0.083941605839416,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
1745,1962,0,4,85696.0,0,0,88,714,76,395,116,0,12,1,4,6,9,1,0,0,0,0,0,0,1,1313,0.0091324200913242,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
10590,1956,0,0,76542.0,0,0,91,794,73,573,0,29,14,1,4,8,10,2,0,0,0,0,0,0,0,1483,0.0094339622641509,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
10909,1948,3,2,92344.0,0,0,9,992,24,694,51,19,119,0,5,10,5,1,1,0,1,0,0,0,0,1899,0.0626315789473684,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
6246,1953,3,1,73892.0,0,0,40,703,102,601,0,58,43,1,3,11,8,1,0,0,0,0,0,0,1,1507,0.0285145888594164,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
2939,1970,2,0,79419.0,0,0,96,751,127,687,20,15,31,1,4,6,4,2,0,0,0,0,0,0,0,1631,0.0189950980392156,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
9952,1947,2,0,78093.0,0,0,53,368,32,639,13,43,10,1,4,7,5,1,0,0,0,0,0,0,0,1105,0.0090415913200723,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
8969,1977,3,2,71855.0,0,1,59,548,31,422,0,112,28,4,5,5,11,3,0,0,0,0,0,0,0,1141,0.0245183887915936,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
4686,1962,0,3,82571.0,0,0,28,861,31,558,62,95,79,0,6,5,13,2,0,0,1,0,0,0,0,1686,0.0468286899822169,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
5796,1963,3,2,77437.0,0,0,70,560,21,442,29,44,29,1,4,5,13,1,0,0,1,0,0,0,0,1125,0.0257548845470692,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
6977,1974,3,0,75702.0,0,1,87,1073,0,629,145,37,37,1,10,5,13,6,0,0,1,0,0,0,0,1921,0.0192507804370447,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
4687,1958,2,2,80739.0,0,0,92,674,92,736,39,0,92,1,3,11,9,1,0,0,0,0,0,0,0,1633,0.0563035495716034,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
10163,1984,0,1,82733.0,0,0,28,712,50,420,65,38,38,1,8,4,7,4,0,0,0,0,0,0,1,1323,0.0287009063444108,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
5558,1954,0,1,90933.0,0,0,90,1020,31,430,62,63,79,1,4,6,4,1,0,0,1,0,0,0,0,1685,0.0468564650059312,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
6262,1962,2,1,72217.0,0,0,93,816,42,450,55,56,154,1,3,10,8,2,0,0,0,0,0,0,0,1573,0.0978398983481575,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.6719160104986873,AcceptedCmp1
6184,1969,0,2,68462.0,0,0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,1670,0.0287253141831238,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9193548387096774,AcceptedCmp1
8314,1982,3,2,79908.0,0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,1772,0.0626057529610829,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9193548387096774,AcceptedCmp1
1577,1946,3,2,78569.0,0,0,14,558,79,622,207,175,95,1,4,6,4,1,0,0,1,0,0,0,1,1736,0.054691997697179,12,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9193548387096774,AcceptedCmp1
1065,1963,3,1,80695.0,0,0,85,557,129,984,193,37,18,1,5,8,5,2,0,0,0,0,0,0,0,1918,0.0093798853569567,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9193548387096774,AcceptedCmp1
6203,1947,3,0,74485.0,0,0,58,499,149,815,173,49,49,1,6,7,12,3,0,0,0,0,0,0,0,1734,0.0282420749279538,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9193548387096774,AcceptedCmp1
10469,1981,3,0,88325.0,0,0,42,519,71,860,93,27,53,1,6,2,9,2,0,0,0,0,0,0,0,1623,0.0326354679802955,12,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.9193548387096774,AcceptedCmp1
1966,1965,0,2,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,0.0,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.910179640718563,AcceptedCmp1
5341,1962,1,4,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,1588,0.0169918187539332,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.910179640718563,AcceptedCmp1
5848,1970,3,0,81205.0,0,0,43,724,74,929,97,55,130,1,5,6,7,2,1,0,1,0,1,0,1,2009,0.0646766169154228,12,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.910179640718563,AcceptedCmp1
5735,1991,2,1,90638.0,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,2525,0.0380047505938242,12,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.910179640718563,AcceptedCmp1
7789,1965,0,2,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,0.0,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.910179640718563,AcceptedCmp1
5350,1991,2,1,90638.0,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,1,2525,0.0380047505938242,12,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.910179640718563,AcceptedCmp1
313,1968,3,3,73455.0,0,0,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,0,2088,0.009573958831977,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.8636363636363636,AcceptedCmp1
7274,1957,3,2,78618.0,0,0,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,0,2153,0.0283194057567316,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.8636363636363636,AcceptedCmp1
4702,1964,3,1,61839.0,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,1895,0.0632911392405063,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.8636363636363636,AcceptedCmp1
4910,1967,3,4,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,2074,0.0554216867469879,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.8636363636363636,AcceptedCmp1
590,1970,2,4,78579.0,0,0,35,816,66,549,216,66,99,1,5,6,4,3,0,0,0,0,0,0,1,1812,0.0546056260341974,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.8636363636363636,AcceptedCmp1
5147,1948,3,1,90842.0,0,0,57,774,70,118,182,187,93,1,4,9,13,1,0,0,0,0,0,0,0,1424,0.0652631578947368,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.8636363636363636,AcceptedCmp1
5628,1982,3,0,61416.0,0,0,25,848,154,323,201,61,78,1,10,3,10,6,1,0,0,0,0,0,0,1665,0.0468187274909964,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.8636363636363636,AcceptedCmp1
3507,1970,3,1,76467.0,1,0,44,676,161,426,210,44,58,2,2,5,5,6,0,0,0,0,0,0,1,1575,0.0368020304568527,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.8636363636363636,AcceptedCmp1
1544,1967,2,4,81380.0,0,0,51,741,68,689,224,68,103,1,4,2,10,2,0,0,0,0,0,0,0,1893,0.0543822597676874,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.8636363636363636,AcceptedCmp1
460,1972,0,2,79930.0,0,0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,1753,0.0096921322690992,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.6031746031746031,AcceptedCmp1
5989,1959,1,4,78353.0,0,1,51,752,122,476,39,153,34,1,10,2,11,8,0,0,0,0,0,0,0,1576,0.0215599239061509,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.6031746031746031,AcceptedCmp1
9209,1971,2,0,80573.0,0,0,85,829,138,430,60,92,15,1,4,6,13,2,0,0,0,0,0,0,0,1564,0.0095846645367412,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.6031746031746031,AcceptedCmp1
4278,1983,0,1,87188.0,0,0,73,910,111,724,49,74,55,1,10,2,6,3,0,0,0,0,0,0,1,1923,0.0285862785862785,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.6031746031746031,AcceptedCmp1
9242,1990,3,1,64509.0,0,0,19,836,185,575,24,25,77,1,6,3,9,4,1,0,0,0,0,0,1,1722,0.044689495066744,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.6031746031746031,AcceptedCmp1
6417,1971,2,0,80573.0,0,0,85,829,138,430,60,92,15,1,4,6,13,2,0,0,0,0,0,0,0,1564,0.0095846645367412,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus,0.6031746031746031,AcceptedCmp1
1491,1965,1,0,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,0.3071428571428571,13,1,Mid-Market Enterprise,Mid-Market Enterprise,0.985781990521327,AcceptedCmp1
7683,1968,2,2,70777.0,0,1,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,0,787,0.098984771573604,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.985781990521327,AcceptedCmp1
7725,1965,1,2,76800.0,0,0,33,173,26,255,35,71,81,1,4,4,7,1,0,0,0,0,0,0,0,641,0.1261682242990654,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.985781990521327,AcceptedCmp1
3091,1981,1,0,75774.0,1,0,27,340,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,0,823,0.0679611650485436,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.985781990521327,AcceptedCmp1
762,1981,1,0,75774.0,1,0,27,340,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,0,823,0.0679611650485436,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.985781990521327,AcceptedCmp1
8925,1965,2,2,70053.0,0,1,38,512,53,98,81,179,89,3,8,5,10,5,0,0,0,0,0,0,0,1012,0.087857847976308,13,1,Mid-Market Enterprise,Mid-Market Enterprise,0.985781990521327,AcceptedCmp1
2666,1972,2,2,76234.0,0,1,21,519,50,167,130,0,41,1,8,3,11,3,0,1,0,0,0,0,0,907,0.0451541850220264,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.985781990521327,AcceptedCmp1
5324,1981,0,2,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,0.0354609929078014,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
8375,1968,0,2,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,518,0.0828516377649325,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
3267,1963,2,0,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,0.0985221674876847,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
3830,1953,2,2,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,459,0.0282608695652173,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
3924,1965,0,4,57912.0,0,1,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,0,916,0.0381679389312977,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
9336,1969,0,3,62187.0,0,1,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,0,636,0.06436420722135,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
9697,1951,3,2,53790.0,0,2,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,0,542,0.009208103130755,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
5512,1977,2,2,55842.0,0,1,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0,0,518,0.0462427745664739,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
4769,1977,2,0,57954.0,1,1,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,493,0.0182186234817813,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
9240,1971,0,1,60504.0,0,1,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,526,0.064516129032258,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
4184,1950,0,0,52157.0,0,1,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,265,0.150375939849624,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
254,1955,3,0,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,473,0.0632911392405063,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
10846,1978,2,2,43783.0,1,0,22,327,9,125,25,4,139,6,7,1,8,7,1,0,0,0,0,0,0,629,0.2206349206349206,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
1,1961,3,1,57091.0,0,0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,0,1,577,0.0640138408304498,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
5121,1977,3,1,56628.0,0,1,30,479,5,82,7,17,171,2,7,6,5,5,1,0,0,0,0,0,0,761,0.2244094488188976,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
9353,1959,3,1,62450.0,0,1,61,515,47,267,62,66,38,2,5,5,4,3,0,1,0,0,0,0,0,995,0.038152610441767,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
1328,1982,1,2,57937.0,0,1,56,261,42,144,55,48,133,3,4,4,9,3,0,0,0,0,0,0,0,683,0.1944444444444444,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
3635,1962,0,1,52597.0,0,1,69,492,0,37,7,0,42,3,6,3,8,5,0,0,0,0,0,0,0,578,0.0725388601036269,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
3717,1959,3,2,61180.0,0,1,70,403,24,29,6,24,218,2,5,5,6,3,1,0,0,0,0,0,0,704,0.3092198581560283,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
10855,1968,2,1,50014.0,1,0,9,234,14,77,19,10,42,2,4,1,8,5,0,0,0,0,0,0,0,396,0.105793450881612,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
1740,1944,3,2,55956.0,0,0,22,760,38,104,50,9,38,2,7,3,4,4,0,1,0,0,0,0,0,999,0.038,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
9386,1962,3,0,50127.0,0,1,88,274,0,21,4,6,15,1,5,1,6,6,0,1,0,0,0,0,0,320,0.0467289719626168,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
7712,1946,0,1,62159.0,0,0,68,182,17,259,77,70,29,1,6,2,10,4,0,0,0,0,0,0,0,634,0.0456692913385826,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
9559,1961,0,2,57072.0,0,1,79,944,0,60,0,0,30,2,7,5,13,5,1,0,0,0,0,0,0,1034,0.0289855072463768,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
3643,1974,2,2,63206.0,0,0,65,750,8,125,11,8,26,1,4,3,6,2,0,0,1,0,0,0,0,928,0.0279870828848223,12,1,Mid-Market Enterprise,Mid-Market Enterprise,0.8854961832061069,AcceptedCmp1
